Channel URL,Channel Name,Niche,Source Query
https://www.youtube.com/c/CheapHolidayExpert,Holiday Expert (Cheap Holiday Expert),Holiday guides / deal hunting,"""Holiday Experts"" YouTube channel travel holiday reviews"
https://www.youtube.com/channel/UCD6Fz9CH8jS7xlnqvw2Eqdg,MMT Holiday Expert,Holiday tips / destination reviews,"""Holiday Experts"" YouTube channel travel holiday reviews"
https://www.youtube.com/channel/UCauClR6XOj9ePThlSVWa37A,Honest Holiday Review,Holiday / vacation reviews,"""Holiday Experts"" YouTube channel travel holiday reviews"
https://www.youtube.com/@holidayexpertscrete,HOLIDAY EXPERTS (Crete),Crete holidays,"""Holiday Experts"" YouTube channel travel holiday reviews"
https://www.youtube.com/channel/UChwu4PBz5szHzZsQe9lPfHw,TRAVEL BOX B2B HOLIDAY EXPERT,Holiday trade / B2B,"""Holiday Experts"" YouTube channel travel holiday reviews"
https://www.youtube.com/allinclusivereviews,All Inclusive Reviews,All-inclusive resort reviews,all inclusive holiday resort review youtube channel uk
https://www.youtube.com/channel/UCm-MbeXbYivVMGFrT8E2oNQ,Benidorm Enthusiast,Benidorm / Spain holidays,benidorm tenerife holiday vlog youtube channel
https://www.youtube.com/channel/UCZOL4SHrFofhaBpxhwsJJCw,Benidorm by Ana,Benidorm / Costa Blanca holidays,benidorm tenerife holiday vlog youtube channel
https://www.youtube.com/@benidormandbeyond2445,BENIDORM AND BEYOND,Benidorm holidays,benidorm tenerife holiday vlog youtube channel
https://www.youtube.com/channel/UCk-EPn3z3XT7DBrJseqMknQ,Vlog Benidorm,Benidorm holidays,benidorm tenerife holiday vlog youtube channel
https://www.youtube.com/channel/UCVXrSJ-_jr3jkJjsgcZFocw,Benidorm Channel,Benidorm holidays,benidorm tenerife holiday vlog youtube channel
https://www.youtube.com/channel/UCC-y15yM_QugIyqxW2mOIUQ,BENIDORM TODAY,Benidorm walking tours / Costa Blanca,benidorm tenerife holiday vlog youtube channel
https://www.youtube.com/channel/UCpnRH1jL_EKoVv5VWoyiB0A,Paul and Carole Love to Travel,Cruise / hotel reviews,cruise ship review vlog youtube channel p&o princess
https://www.youtube.com/c/FamilyTravelVlog,Family Travel Vlog,Family holidays,"""youtube.com/@"" holiday vlog channel uk family travel deals tips"
