#,Display Name,Email,YT Channel,YT Subscribers,Type,Sells,Niche,Country,Cadence,Last Upload (days),Uploads (90d),IG Account,IG Followers,Skool Community,Skool Link,# of Members,Status
1,English with Brittany,,https://www.youtube.com/@EnglishwithBrittany,426000,solo,course,no,,monthly,5,4,,,,,,ok
2,Lauren Snyder,Email in YouTube Bio,https://www.youtube.com/@laurensnyder,367000,solo,"storefront, own site",no,,weekly,1,20,http://instagram.com/itslaurensnyder,,,,,ok
3,STRIQfit,Email in YouTube Bio,https://www.youtube.com/@STRIQfit,302000,solo,store,no,United States,weekly,1,13,https://www.instagram.com/STRIQfit/,,,,,ok
4,Helaine Zhao,Email in YouTube Bio,https://www.youtube.com/@helainezhao,294000,solo,storefront,no,United States,biweekly,4,7,https://www.instagram.com/helainezhao_/,,,,,ok
5,Apple Cheeks,Email in YouTube Bio,https://www.youtube.com/@apple.cheeks,230000,solo,membership,no,United States,monthly,21,4,https://www.instagram.com/apple.cheeks/,,,,,ok
6,Jaz Turner,Email in YouTube Bio,https://www.youtube.com/@jazturner16,210000,solo,"storefront, own site",no,,biweekly,4,9,https://www.instagram.com/jazturner16/,,,,,ok
7,Lauren Nicholsen,Email in YouTube Bio,https://www.youtube.com/@LaurenNicholsen,174000,solo,community,no,United States,weekly,1,23,https://www.instagram.com/mrslaurennicholsen/,,,,,ok
8,Big Loz Official,Email in YouTube Bio,https://www.youtube.com/@BigLozOfficial,168000,solo,own site,no,United Kingdom,weekly,5,30,https://www.instagram.com/mrs_shahlaei/?hl=en,,,,,ok
9,Amelie Desai,Email in YouTube Bio,https://www.youtube.com/@ameliedesai,162000,solo,"storefront, own site",yes,United States,weekly,0,18,https://www.instagram.com/ameliedesai/,,,,,ok
10,Becky Mae,,https://www.youtube.com/@beckymaelee,153000,unclear,"storefront, own site",no,United States,biweekly,6,7,,,,,,ok
11,Rachel Vinn,Email in YouTube Bio,https://www.youtube.com/@RachelVinn,148000,solo,"storefront, own site",no,United States,weekly,0,24,https://www.instagram.com/rach.vinn/,,,,,ok
12,Thinking with a Pump,,https://www.youtube.com/@ThinkingwithaPump,145000,unclear,storefront,no,,biweekly,14,7,,,,,,ok
13,Roots in the Wild,Email in YouTube Bio,https://www.youtube.com/@Roots-In-The-Wild,132000,solo,membership,yes,United Kingdom,weekly,2,11,https://www.instagram.com/jessicakleczka/,,,,,ok
14,Cobra Scalez,,https://www.youtube.com/@cobrascalez,125000,solo,community,no,,monthly,4,3,https://www.instagram.com/cobrasthenics/,,Cobrasthenics Bootcamp,https://www.skool.com/cobrasthenics-7347/about,2800,ok
15,Bupa Health,,https://www.youtube.com/@BupaHealth,118000,solo,"app, own site",no,United Kingdom,biweekly,21,6,https://www.instagram.com/bupa.uk,,,,,ok
16,UHM - Upcoming Horror Movies,Email in YouTube Bio,https://www.youtube.com/@UHMovies,112000,business,membership,no,United States,weekly,0,30,https://www.instagram.com/uhmovies/,,,,,ok
17,Celine ♡,Email in YouTube Bio,https://www.youtube.com/@Celinelikedion,60700,solo,"membership, storefront, own site",no,Canada,weekly,7,10,http://instagram.com/celinelikedion,,,,,ok
18,Cass Spinelli,Email in YouTube Bio,https://www.youtube.com/@CassSpinelli,35000,solo,"storefront, own site",no,United States,biweekly,14,5,https://www.instagram.com/cass.spinelli,,,,,ok
19,Paul and Carole Love to Travel,Email in YouTube Bio,https://www.youtube.com/channel/UCpnRH1jL_EKoVv5VWoyiB0A,33900,solo,membership,yes,United Kingdom,weekly,3,19,https://www.instagram.com/paulandcarole/,,,,,ok
20,WORKOUT WITH GINA,Email in YouTube Bio,https://www.youtube.com/@workoutwithgina,255000,solo,,no,Canada,weekly,4,10,https://www.instagram.com/workoutwithgina/,,,,,ok
21,Michelle Roots Fitness & Nutrition Coach,Email in YouTube Bio,https://www.youtube.com/@MichelleRoots,129000,solo,,no,Canada,biweekly,3,8,http://www.instagram.com/michellerootsfit,,,,,ok
22,Holiday Expert,Email in YouTube Bio,https://www.youtube.com/c/CheapHolidayExpert,109000,solo,,yes,United Kingdom,monthly,14,3,https://www.instagram.com/holidayexpert/,,,,,ok
23,Phil Mosley - MyProCoach Triathlon Training,Email in YouTube Bio,https://www.youtube.com/@myprocoach123,104000,unclear,,no,United Kingdom,biweekly,11,7,https://www.instagram.com/myprocoach_/,,,,,ok
24,Sika Strength,,https://www.youtube.com/@sikastrength,83000,unclear,,no,,weekly,0,15,,,,,,ok
25,OPEX Fitness,Email in YouTube Bio,https://www.youtube.com/@OPEXFitness,39500,solo,,no,United States,biweekly,4,6,https://www.instagram.com/coachrx.app/,,,,,ok
