#,Display Name,YT Subscribers,Source,Type,Sells,Country,Cadence,Last Upload (days),Email,IG Account,YT Channel
1,The Lovers Passport,102000,travel,solo,,United States,weekly,2,Email in YouTube Bio,https://www.instagram.com/theloverspassport,https://www.youtube.com/@TheLoversPassport
2,michaela amari,102000,vlog/fitness,unclear,,United States,biweekly,1,Email in YouTube Bio,,https://www.youtube.com/@michaelaamari
3,maggy,102000,vlog/fitness,solo,,,monthly,1,Email in YouTube Bio,https://www.instagram.com/mmmaaggyyy/,https://www.youtube.com/@maggymaa
4,Camden David,103000,travel,solo,,United States,biweekly,3,Email in YouTube Bio,,https://www.youtube.com/@camdendavid
5,Ritzy Travel Guide,104000,travel,solo,,United Kingdom,biweekly,3,Email in YouTube Bio,https://www.instagram.com/ritzytravelguide,https://www.youtube.com/@ritzytravelguide
6,Travel Spree,104000,travel,solo,,United States,weekly,2,Email in YouTube Bio,https://www.instagram.com/travelspreeofficial,https://www.youtube.com/@TravelSpreeOfficial
7,Phil Mosley - MyProCoach Triathlon Training,104000,vlog/fitness,unclear,,United Kingdom,biweekly,11,Email in YouTube Bio,https://www.instagram.com/myprocoach_/,https://www.youtube.com/@myprocoach123
8,Just Elias,95400,vlog/fitness,solo,,,biweekly,0,,https://www.instagram.com/justt_eliass/,https://www.youtube.com/@just_elias
9,Living the life you love,94000,vlog/fitness,solo,,United Kingdom,weekly,2,Email in YouTube Bio,https://www.instagram.com/livingthelifeyoulove/,https://www.youtube.com/@Livingthelifeyoulove
10,Cal,107000,travel,solo,,Canada,weekly,6,Email in YouTube Bio,https://www.instagram.com/ajarncal/,https://www.youtube.com/@thebangkokguide
11,National Academy of Sports Medicine (NASM),107000,vlog/fitness,unclear,,,weekly,4,,,https://www.youtube.com/@NasmOrgPersonalTrainer
12,Explorcation,92200,travel,solo,,United States,biweekly,9,Email in YouTube Bio,https://www.instagram.com/explor_cation,https://www.youtube.com/@Explorcation
13,Sorta Healthy Trainer Education,108000,vlog/fitness,solo,,United States,biweekly,4,Email in YouTube Bio,https://www.instagram.com/sortahealthyjeff,https://www.youtube.com/@SortaHealthyTrainerEducation
14,Holiday Expert,109000,vlog/fitness,solo,,United Kingdom,monthly,14,Email in YouTube Bio,https://www.instagram.com/holidayexpert/,https://www.youtube.com/c/CheapHolidayExpert
15,McKenzie Morgan,90900,travel,solo,,United States,weekly,12,Email in YouTube Bio,https://www.instagram.com/styledbymckenz/,https://www.youtube.com/@styledbymckenz
16,Ivan de Guzman,110000,travel,solo,,Philippines,weekly,0,Email in YouTube Bio,https://instagram.com/paulivandg,https://www.youtube.com/@ivandeguzman
17,Rebecca Hobson,111000,travel,solo,,United Kingdom,monthly,30,Email in YouTube Bio,https://www.instagram.com/mrsrebeccahobson,https://www.youtube.com/@mrsrebeccahobson
18,UHM - Upcoming Horror Movies,112000,vlog/fitness,business,membership,United States,weekly,0,Email in YouTube Bio,https://www.instagram.com/uhmovies/,https://www.youtube.com/@UHMovies
19,The Frugal Brit - Orlando,114000,travel,solo,,United Kingdom,biweekly,9,Email in YouTube Bio,"https://www.instagram.com/Hello everyone! In addition to creating a new vlog channel, I thought I’d also create an Instagram account so that I can give updates even quicker. Here’s the link if anyone’s interested:

instagram.com/jayjackorlando/

I’ll hopefully be setting up the vlog channel in the next few weeks. Really pleased with the response to the last post, thank you!! 😁",https://www.youtube.com/@TheFrugalBrit
20,World Travel Guide,114000,travel,unclear,,United States,monthly,14,Email in YouTube Bio,,https://www.youtube.com/@RealWorldTravelGuide
21,sydgrows,86000,vlog/fitness,solo,,,monthly,9,Email in YouTube Bio,https://www.instagram.com/sydgrows/,https://www.youtube.com/@sydgrows
22,Destination Well Known,85800,agency,business,,,biweekly,3,Email in YouTube Bio,https://www.instagram.com/destination_wellknown/,https://www.youtube.com/@destinationwellknown
23,Ash and Kels,85700,travel,solo,,United Kingdom,weekly,3,Email in YouTube Bio,https://www.instagram.com/_ashandkels/,https://www.youtube.com/@AshandKels
24,KevTheTrainer,85500,vlog/fitness,solo,,United States,weekly,1,Email in YouTube Bio,https://www.instagram.com/kev.the.trainer,https://www.youtube.com/@KevTheTrainer
25,Deanalex,85100,travel,unclear,,,weekly,1,,,https://www.youtube.com/@Deanalex7
26,A Walk on the Wild Side,84900,travel,solo,,United Kingdom,weekly,0,Email in YouTube Bio,https://www.instagram.com/awalkonthewildside69/,https://www.youtube.com/@AWalkontheWildSideBlackpool
27,GoTime Travels,116000,travel,solo,,Ireland,weekly,3,Email in YouTube Bio,https://www.instagram.com/gotimetravels/,https://www.youtube.com/@GoTimeTravels
28,This Is Our Retirement,117000,travel,unclear,,Canada,weekly,1,,,https://www.youtube.com/@ThisIsOurRetirement
29,Mitch Boyer,117000,vlog/fitness,solo,,United States,monthly,14,Email in YouTube Bio,https://www.instagram.com/mitchwayneboyer/,https://www.youtube.com/@MitchBoyer
30,Sika Strength,83000,vlog/fitness,unclear,,,weekly,0,,,https://www.youtube.com/@sikastrength
31,emi’s spellbook,118000,vlog/fitness,solo,,,biweekly,11,,,https://www.youtube.com/@emisspellbook
32,Bupa Health,118000,vlog/fitness,solo,"app, own site",United Kingdom,biweekly,21,,https://www.instagram.com/bupa.uk,https://www.youtube.com/@BupaHealth
