#,Display Name,Email,YT Channel,YT Subscribers,Type,Niche,Country,Cadence,Last Upload (days),Uploads (90d),IG Account,IG Followers,Skool Community,Skool Link,# of Members,Status
1,The Flip Flop Traveller,Email in YouTube Bio,https://www.youtube.com/@tfft,199000,solo,yes,United States,weekly,6,30,,,,,,ok
2,Happy to Wander (Travel Tips & Inspo),Email in YouTube Bio,https://www.youtube.com/@HappytoWander,199000,solo,yes,Canada,biweekly,1,8,https://www.instagram.com/happytowander/,,,,,ok
3,Eat Sleep Cruise,Email in YouTube Bio,https://www.youtube.com/@Eatsleepcruise1,170000,solo,yes,United States,weekly,2,12,https://instagram.com/eatsleepcruise,,,,,ok
4,Molly Thompson,Email in YouTube Bio,https://www.youtube.com/@MollyThompsonx_,168000,solo,yes,United Kingdom,weekly,2,19,http://instagram.com/molly_thompson,,,,,ok
5,Brogan Tate,Email in YouTube Bio,https://www.youtube.com/@brogantatexo,154000,solo,yes,United Kingdom,weekly,2,14,https://instagram.com/brogantatexo,,,,,ok
6,seerasan,Email in YouTube Bio,https://www.youtube.com/@seerasan,152000,solo,yes,Australia,biweekly,6,9,https://www.instagram.com/seerasan/,,,,,ok
7,Eat See TV,Email in YouTube Bio,https://www.youtube.com/@EatSeeTV,142000,solo,yes,United States,biweekly,30,5,https://www.instagram.com/EatSeeTV/,,,,,ok
8,The Cartwrights,Email in YouTube Bio,https://www.youtube.com/@thecartwrights,140000,solo,yes,Australia,biweekly,13,9,https://www.instagram.com/cartwright.company,,,,,ok
9,PP: Passport Pages,Email in YouTube Bio,https://www.youtube.com/@Passport_Pages,138000,solo,yes,United States,biweekly,11,6,https://www.instagram.com/passportpagestravel,,,,,ok
10,The Sanbrooke Adventures,Email in YouTube Bio,https://www.youtube.com/@TheSanbrookeAdventures,136000,solo,yes,United Kingdom,weekly,2,22,https://www.instagram.com/thesanbrookeadventureschannel/,,,,,ok
11,Griff & Alyssa,Email in YouTube Bio,https://www.youtube.com/@GriffandAlyssa,129000,solo,yes,United States,weekly,6,12,https://instagram.com/griffandalyssa,,,,,ok
12,Coolist,Email in YouTube Bio,https://www.youtube.com/@Coolist,128000,solo,yes,United States,biweekly,9,5,https://instagram.com/james.coolist,,,,,ok
13,Jordan Bauth,Email in YouTube Bio,https://www.youtube.com/@jbauth,126000,solo,yes,United States,weekly,0,27,http://www.instagram.com/jbauth,,,,,ok
14,Wout of the World,Email in YouTube Bio,https://www.youtube.com/@WoutoftheWorld,120000,solo,yes,Netherlands,weekly,6,15,https://www.instagram.com/woutoftheworld,,,,,ok
15,GoTime Travels,Email in YouTube Bio,https://www.youtube.com/@GoTimeTravels,116000,solo,yes,Ireland,weekly,0,12,https://www.instagram.com/gotimetravels/,,,,,ok
16,The Frugal Brit - Orlando,Email in YouTube Bio,https://www.youtube.com/@TheFrugalBrit,114000,solo,yes,United Kingdom,biweekly,6,5,"https://www.instagram.com/Hello everyone! In addition to creating a new vlog channel, I thought I’d also create an Instagram account so that I can give updates even quicker. Here’s the link if anyone’s interested:

instagram.com/jayjackorlando/

I’ll hopefully be setting up the vlog channel in the next few weeks. Really pleased with the response to the last post, thank you!! 😁",,,,,ok
17,Rebecca Hobson,Email in YouTube Bio,https://www.youtube.com/@mrsrebeccahobson,111000,solo,yes,United Kingdom,monthly,30,3,https://www.instagram.com/mrsrebeccahobson,,,,,ok
18,Ivan de Guzman,Email in YouTube Bio,https://www.youtube.com/@ivandeguzman,110000,solo,yes,Philippines,weekly,0,30,https://instagram.com/paulivandg,,,,,ok
19,Cal,Email in YouTube Bio,https://www.youtube.com/@thebangkokguide,107000,solo,yes,Canada,weekly,3,24,https://www.instagram.com/ajarncal/,,,,,ok
20,Ritzy Travel Guide,Email in YouTube Bio,https://www.youtube.com/@ritzytravelguide,103000,solo,yes,United Kingdom,biweekly,0,7,https://www.instagram.com/ritzytravelguide,,,,,ok
21,The Lovers Passport,Email in YouTube Bio,https://www.youtube.com/@TheLoversPassport,102000,solo,yes,United States,weekly,6,12,https://www.instagram.com/theloverspassport,,,,,ok
