#,Display Name,Email,YT Channel,YT Subscribers,Type,Niche,Country,Cadence,Last Upload (days),Uploads (90d),IG Account,IG Followers,Skool Community,Skool Link,# of Members,Status
1,Passenger Paramvir,Email in YouTube Bio,https://www.youtube.com/@PassengerParamvir,2810000,solo,yes,India,biweekly,0,7,https://www.instagram.com/paramvir_beniwal,,,,,ok
2,Rick Steves' Europe,Email in YouTube Bio,https://www.youtube.com/@RickStevesEuropeOfficial,2080000,solo,yes,United States,weekly,6,19,https://www.instagram.com/ricksteveseurope,,,,,ok
3,The Family Fudge,Email in YouTube Bio,https://www.youtube.com/@Thefamilyfudge,2029999,solo,yes,United States,biweekly,6,5,https://www.instagram.com/thefamilyfudge/,,,,,ok
4,Trek Trendy,Email in YouTube Bio,https://www.youtube.com/@Trektrendy,1440000,solo,yes,United Kingdom,monthly,5,4,https://www.instagram.com/trektrendy,,,,,ok
5,DFBGuide,Email in YouTube Bio,https://www.youtube.com/@DFBGuide,1130000,solo,yes,United States,weekly,1,30,http://instagram.com/disneyfoodblog,,,,,ok
6,Walk With Me Tim,Email in YouTube Bio,https://www.youtube.com/@WalkWithMeTim,1050000,solo,yes,United Kingdom,weekly,7,14,https://www.instagram.com/walkwithmetim,,,,,ok
7,Brett Conti,Email in YouTube Bio,https://www.youtube.com/@brettconti,1030000,solo,yes,United States,monthly,13,4,https://www.instagram.com/brettcconti,,,,,ok
8,Taylor Bell,Email in YouTube Bio,https://www.youtube.com/@TaylorBell,920000,solo,yes,United States,biweekly,7,7,https://www.instagram.com/taykbell,,,,,ok
9,Taylor Wynn,Email in YouTube Bio,https://www.youtube.com/@taylorwynn,861000,solo,yes,United States,weekly,2,11,http://instagram.com/taylorwynn,,,,,ok
10,Lexie Limitless,Email in YouTube Bio,https://www.youtube.com/@LexieLimitless,751000,solo,yes,United States,monthly,21,2,https://www.instagram.com/lexielimitless/,,,,,ok
11,Ken Abroad,Email in YouTube Bio,https://www.youtube.com/@KenAbroad,696000,solo,yes,Germany,biweekly,0,8,https://www.instagram.com/ken_abroad,,,,,ok
12,Jathaly,Email in YouTube Bio,https://www.youtube.com/@jathaly,557000,solo,yes,,monthly,28,3,https://www.instagram.com/jacobmacias_/,,,,,ok
13,Life Well Cruised,Email in YouTube Bio,https://www.youtube.com/@LifeWellCruised,515000,solo,yes,Canada,weekly,0,30,https://www.instagram.com/lifewellcruised/,,,,,ok
14,Jumping Places,Email in YouTube Bio,https://www.youtube.com/@JumpingPlaces,488000,solo,yes,United States,weekly,6,14,https://www.instagram.com/jumpingplaces,,,,,ok
15,Yellow Productions,Email in YouTube Bio,https://www.youtube.com/@YellowProductions,434000,solo,yes,United States,weekly,1,30,https://www.instagram.com/yellowwproductions/,,,,,ok
16,AllEars.net,Email in YouTube Bio,https://www.youtube.com/@AllEarsNet,428000,solo,yes,United States,weekly,0,29,http://instagram.com/allearsnet,,,,,ok
17,Joel and Emilia,Email in YouTube Bio,https://www.youtube.com/@Joel_Emilia,397000,solo,yes,United Kingdom,biweekly,12,7,https://www.instagram.com/emiliabeattie/,,,,,ok
18,Bright Sun Travels,Email in YouTube Bio,https://www.youtube.com/@BrightSunTravels,353000,solo,yes,Canada,monthly,14,3,https://www.instagram.com/jakerosswilliams/,,,,,ok
19,The Shiplife,Email in YouTube Bio,https://www.youtube.com/@JSHIPLIFE,346000,solo,yes,United States,weekly,1,25,https://www.instagram.com/theshiplife__official/,,,,,ok
20,Christine Le,Email in YouTube Bio,https://www.youtube.com/@christineleeee,345000,solo,yes,United States,monthly,7,2,https://www.instagram.com/christineleeee/,,,,,ok
