#,Display Name,Email,YT Channel,YT Subscribers,Type,Niche,Country,Cadence,Last Upload (days),Uploads (90d),IG Account,IG Followers,Skool Community,Skool Link,# of Members,Status
1,Discovery Destination,Email in YouTube Bio,https://www.youtube.com/@discoverydestination,20200,unclear,yes,United States,weekly,0,20,,,,,,below_min_subscribers
2,The Travel Coaches,Email in YouTube Bio,https://www.youtube.com/@thetravelcoaches,76100,solo,yes,United States,monthly,1,4,https://instagram.com/thetravelcoaches?igshid=MzRlODBiNWFlZA==,,,,,below_min_subscribers
3,Taylor Wynn,Email in YouTube Bio,https://www.youtube.com/@taylorwynn,861000,solo,yes,United States,weekly,5,11,http://instagram.com/taylorwynn,,,,,ok
4,Retirement Unlocked,,https://www.youtube.com/@RetirementUnlocked07,9050,unclear,yes,United States,weekly,1,22,,,,,,below_min_subscribers
5,Chews to Explore,Email in YouTube Bio,https://www.youtube.com/@ChewsToExplore,124000,unclear,yes,United States,weekly,3,13,,,,,,ok
6,Keith & Dev,Email in YouTube Bio,https://www.youtube.com/@KeithandDev,28900,solo,yes,Canada,biweekly,1,8,https://www.instagram.com/keithanddev/,,,,,below_min_subscribers
7,Ash Knows Travel,Email in YouTube Bio,https://www.youtube.com/@ashknowstravel,14000,unclear,yes,United States,weekly,10,23,,,,,,below_min_subscribers
8,PP: Passport Pages,Email in YouTube Bio,https://www.youtube.com/@Passport_Pages,138000,solo,yes,United States,biweekly,1,6,https://www.instagram.com/passportpagestravel,,,,,ok
9,Bon Voyage Brenda,,https://www.youtube.com/@BonVoyageBrenda,4680,solo,yes,United States,monthly,4,4,https://www.instagram.com/bonvbrenda?igsh=MTJsYXlpdzg2ZW4yaQ==&utm_source=qr,,,,,below_min_subscribers
10,The Holiday Expert Show,,https://www.youtube.com/@holidayexpertshow,1380,unclear,yes,United Kingdom,biweekly,5,8,,,,,,below_min_subscribers
11,Tierra Travels,,https://www.youtube.com/@TierraTravelsCo.,439,solo,yes,,dormant,730,0,,,,,,below_min_subscribers
12,Travelling with Bruce,Email in YouTube Bio,https://www.youtube.com/@TravellingwithBruce,60200,solo,yes,Canada,inactive,122,0,,,,,,below_min_subscribers
13,DFBGuide,Email in YouTube Bio,https://www.youtube.com/@DFBGuide,1130000,solo,yes,United States,weekly,0,30,http://instagram.com/disneyfoodblog,,,,,ok
14,Adventuring with Annie,,https://www.youtube.com/@AdventuringWithAnnie,12200,unclear,yes,,weekly,2,26,,,,,,below_min_subscribers
15,The Frugal Brit - Orlando,Email in YouTube Bio,https://www.youtube.com/@TheFrugalBrit,114000,solo,yes,United Kingdom,biweekly,9,5,"https://www.instagram.com/Hello everyone! In addition to creating a new vlog channel, I thought I’d also create an Instagram account so that I can give updates even quicker. Here’s the link if anyone’s interested:

instagram.com/jayjackorlando/

I’ll hopefully be setting up the vlog channel in the next few weeks. Really pleased with the response to the last post, thank you!! 😁",,,,,ok
16,Seven Stars Holiday,Email in YouTube Bio,https://www.youtube.com/@sevenstarsholiday,1300,unclear,yes,India,dormant,365,0,,,,,,below_min_subscribers
17,seerasan,Email in YouTube Bio,https://www.youtube.com/@seerasan,153000,solo,yes,Australia,weekly,1,10,https://www.instagram.com/seerasan/,,,,,wrong_country
18,Frugal Fit Mom,Email in YouTube Bio,https://www.youtube.com/@FrugalFitMom,691000,solo,no,United States,weekly,5,18,https://www.instagram.com/frugalfitmom6/,,,,,off_niche
19,Travels World Guide,,https://www.youtube.com/@travelsworldguidecom,9,solo,yes,Türkiye,dormant,730,0,,,,,,below_min_subscribers
20,Family at Sea,Email in YouTube Bio,https://www.youtube.com/@FamilyAtSea,45500,solo,yes,United States,weekly,2,25,https://www.instagram.com/familyatsea.travel/,,,,,below_min_subscribers
21,Travel Dance Life,,https://www.youtube.com/@TravelDanceLife,2020,unclear,yes,India,monthly,10,2,,,,,,below_min_subscribers
22,The MacMaster,Email in YouTube Bio,https://www.youtube.com/@TheMacMaster,247000,solo,yes,United Kingdom,weekly,1,30,https://www.instagram.com/ukmacmaster/,,,,,ok
23,Travel More,Email in YouTube Bio,https://www.youtube.com/@travelmorepodcast,18,unclear,yes,,dormant,244,0,,,,,,below_min_subscribers
24,Benidorm by Ana,Email in YouTube Bio,https://www.youtube.com/@BenidormbyAna,25800,business,yes,Spain,weekly,1,30,https://www.instagram.com/benidormbyana/,,,,,below_min_subscribers
25,30 And A Wake Up,,https://www.youtube.com/@30AndAWakeUp,115000,solo,yes,United States,dormant,365,0,https://www.instagram.com/30andawakeup/,,,,,cadence_dormant
26,TVRemix,,https://www.youtube.com/channel/UCkhvsUsHkQv1PDWVl7-9Bvg,1500,unclear,no,United Kingdom,monthly,0,4,,,,,,below_min_subscribers
27,Ash and Kels,Email in YouTube Bio,https://www.youtube.com/@AshandKels,85700,solo,yes,United Kingdom,weekly,3,19,https://www.instagram.com/_ashandkels/,,,,,ok
28,Goofy Getaways,Email in YouTube Bio,https://www.youtube.com/@GoofyGetawaysTravelAgency,64,solo,yes,United States,biweekly,6,5,https://www.instagram.com/goofygetaways,,,,,below_min_subscribers
29,Mickey Guru Travel Company,Email in YouTube Bio,https://www.youtube.com/@MickeyGuruTravel,161,business,yes,United States,weekly,4,29,https://www.instagram.com/mickeygurutravel/,,,,,below_min_subscribers
30,Two for the win,Email in YouTube Bio,https://www.youtube.com/@Twoforthewinpodcast,106,unclear,yes,United States,inactive,91,0,,,,,,below_min_subscribers
31,Self Maid with Jason Cleans,,https://www.youtube.com/@selfmaidpod,100,unclear,no,,weekly,3,16,,,,,,below_min_subscribers
32,The Hawaii Vacation Guide,Email in YouTube Bio,https://www.youtube.com/@TheHawaiiVacationGuide,164000,unclear,yes,United States,weekly,2,12,"https://www.instagram.com/Welcome to our Hawaii adventures! We're Erica and Jordan and we've lived on Maui and Oahu. Now, with our son and daughter in tow, we continue learning as much as possible about traveling in Hawaii. We share everything we learn to help you plan your best trip to Hawaii. We share tips, activities, and reviews. Sustainable travel starts with building love and respect for the islands. We hope these videos spread that message. Mahalo for watching.

Website: https://thehawaiivacationguide.com/
Instagram: https://www.instagram.com/thehawaiivacationguide/",,,,,ok
33,The Park Prodigy,Email in YouTube Bio,https://www.youtube.com/@TheParkProdigy,29100,solo,yes,United States,weekly,1,26,https://www.instagram.com/theparkprodigy,,,,,below_min_subscribers
34,Cal,Email in YouTube Bio,https://www.youtube.com/@thebangkokguide,107000,solo,yes,Canada,weekly,6,22,https://www.instagram.com/ajarncal/,,,,,ok
35,Ed Chapman,Email in YouTube Bio,https://www.youtube.com/@EdChapman23,149000,solo,no,United Kingdom,weekly,0,12,https://instagram.com/edchapman23,,,,,off_niche
36,Walk With Me Tim,Email in YouTube Bio,https://www.youtube.com/@WalkWithMeTim,1050000,solo,yes,United Kingdom,weekly,1,14,https://www.instagram.com/walkwithmetim,,,,,ok
37,Walk With Niamh,Email in YouTube Bio,https://www.youtube.com/@WalkWithNiamh,5770,solo,yes,United Kingdom,inactive,152,0,,,,,,below_min_subscribers
38,This Is Our Retirement,,https://www.youtube.com/@ThisIsOurRetirement,117000,unclear,yes,Canada,weekly,1,11,,,,,,ok
39,The hotel & hunter,,https://www.youtube.com/@Thehotelandtakeawayhunter,16100,solo,yes,,monthly,14,3,,,,,,below_min_subscribers
40,Travelly Man,Email in YouTube Bio,https://www.youtube.com/@travellyman,4800,solo,yes,United Kingdom,biweekly,30,7,https://www.instagram.com/travelly_man/,,,,,below_min_subscribers
41,WorldWide Dom,Email in YouTube Bio,https://www.youtube.com/@WorldWide_Dom,34300,solo,yes,United Kingdom,weekly,2,13,https://www.instagram.com/world_wide_dom/,,,,,below_min_subscribers
42,Johnnyfied,Email in YouTube Bio,https://www.youtube.com/@johnnyfied1,4720,solo,yes,United Kingdom,inactive,91,0,,,,,,below_min_subscribers
