#,Display Name,Email,YT Channel,YT Subscribers,Type,Niche,Country,Cadence,Last Upload (days),Uploads (90d),IG Account,IG Followers,Skool Community,Skool Link,# of Members,Status
1,CBC News,Email in YouTube Bio,https://www.youtube.com/@CBCNews,4720000,solo,yes,Canada,weekly,0,30,,,,,,ok
2,J House Vlogs,Email in YouTube Bio,https://www.youtube.com/@jhousevlogs,3550000,unverified,yes,United States,biweekly,5,6,,,,,,ok
3,The Ingham Family,Email in YouTube Bio,https://www.youtube.com/@TheInghamFamily,1380000,unverified,yes,United Kingdom,weekly,1,30,,,,,,ok
4,The Juicy Vlog,Email in YouTube Bio,https://www.youtube.com/@TheJuicyVlog,589000,unverified,yes,United Kingdom,weekly,3,16,,,,,,ok
5,Hannah Ricketts,Email in YouTube Bio,https://www.youtube.com/@HannahRicketts,506000,unverified,yes,United Kingdom,weekly,3,26,,,,,,ok
6,Travel Tips by Laurie,Email in YouTube Bio,https://www.youtube.com/@TravelTipsbyLaurie,445000,unverified,yes,United States,weekly,1,14,,,,,,ok
7,Ami Charlize,,https://www.youtube.com/@AmiCharlizex,432000,unverified,yes,,weekly,8,13,,,,,,ok
8,Mammoth Club,,https://www.youtube.com/@Mammoth_Club,307000,unverified,yes,United States,weekly,1,30,,,,,,ok
9,The Uncharted Family,Email in YouTube Bio,https://www.youtube.com/@TheUnchartedFamily,209000,unverified,yes,,biweekly,14,8,,,,,,ok
10,Exotic Vacation,Email in YouTube Bio,https://www.youtube.com/@ExoticVacation,183000,unverified,yes,United States,weekly,1,22,,,,,,ok
11,The Hawaii Vacation Guide,Email in YouTube Bio,https://www.youtube.com/@TheHawaiiVacationGuide,164000,unverified,yes,United States,weekly,2,12,"https://www.instagram.com/Welcome to our Hawaii adventures! We're Erica and Jordan and we've lived on Maui and Oahu. Now, with our son and daughter in tow, we continue learning as much as possible about traveling in Hawaii. We share everything we learn to help you plan your best trip to Hawaii. We share tips, activities, and reviews. Sustainable travel starts with building love and respect for the islands. We hope these videos spread that message. Mahalo for watching.

Website: https://thehawaiivacationguide.com/
Instagram: https://www.instagram.com/thehawaiivacationguide/",,,,,ok
12,Ryan Walker,Email in YouTube Bio,https://www.youtube.com/@ryanwalkerT5,160000,unverified,yes,United States,biweekly,2,7,,,,,,ok
13,Chews to Explore,Email in YouTube Bio,https://www.youtube.com/@ChewsToExplore,124000,unverified,yes,United States,weekly,3,13,,,,,,ok
14,This Is Our Retirement,,https://www.youtube.com/@ThisIsOurRetirement,117000,unverified,yes,Canada,weekly,1,11,,,,,,ok
15,World Travel Guide,Email in YouTube Bio,https://www.youtube.com/@RealWorldTravelGuide,114000,unverified,yes,United States,monthly,14,4,,,,,,ok
16,Deanalex,,https://www.youtube.com/@Deanalex7,85100,unverified,yes,,weekly,1,15,,,,,,ok
