#,Display Name,Email,YT Channel,YT Subscribers,Type,Sells,Niche,Country,Cadence,Last Upload (days),Uploads (90d),IG Account,IG Followers,Skool Community,Skool Link,# of Members,Status
1,TK Twins,,https://www.youtube.com/@TheTKTwins.,197000,solo,,no,,biweekly,1,7,https://www.instagram.com/tktwins__/,,,,,ok
2,Being Neiicey,Email in YouTube Bio,https://www.youtube.com/@BeingNeiicey,186000,solo,,no,United States,monthly,4,2,http://instagram.com/shaneicecrystal,,,,,ok
3,Nikki Gets Fit,Email in YouTube Bio,https://www.youtube.com/@NikkiGetsFit,177000,solo,,no,United States,weekly,1,30,https://www.instagram.com/nikkigets_fit,,,,,ok
4,JTM_FIT,Email in YouTube Bio,https://www.youtube.com/@jtm_fit,175000,solo,,no,United States,monthly,21,2,,,,,,ok
5,Lauren Nicholsen,Email in YouTube Bio,https://www.youtube.com/@LaurenNicholsen,174000,solo,community,no,United States,weekly,1,23,https://www.instagram.com/mrslaurennicholsen/,,,,,ok
6,Love Sundays,Email in YouTube Bio,https://www.youtube.com/@LoveSundays,169000,solo,,no,United Kingdom,weekly,1,13,https://www.instagram.com/lovesundays84/,,,,,ok
7,Big Loz Official,Email in YouTube Bio,https://www.youtube.com/@BigLozOfficial,168000,solo,own site,no,United Kingdom,weekly,5,30,https://www.instagram.com/mrs_shahlaei/?hl=en,,,,,ok
8,Amelie Desai,Email in YouTube Bio,https://www.youtube.com/@ameliedesai,162000,solo,"storefront, own site",yes,United States,weekly,0,18,https://www.instagram.com/ameliedesai/,,,,,ok
9,takechu,,https://www.youtube.com/@takechu22,157000,solo,,no,,weekly,2,25,https://www.instagram.com/takechu_u22?igsh=MTF3ZG1qd3psd3czZA==&utm_source=qr,,,,,ok
10,Catalyst Athletics,Email in YouTube Bio,https://www.youtube.com/@CatalystAthletics,157000,solo,,no,United States,biweekly,21,8,https://www.instagram.com/catalystathletics,,,,,ok
11,lana ♡,,https://www.youtube.com/@lanaserenelife,152000,solo,,no,,biweekly,14,8,,,,,,ok
12,Fergus Crawley,Email in YouTube Bio,https://www.youtube.com/@ferguscrawley95,151000,solo,,no,United Kingdom,weekly,12,10,https://www.instagram.com/ferguscrawley/,,,,,ok
13,Rachel Vinn,Email in YouTube Bio,https://www.youtube.com/@RachelVinn,148000,solo,"storefront, own site",no,United States,weekly,0,24,https://www.instagram.com/rach.vinn/,,,,,ok
14,Mana,,https://www.youtube.com/@ManaVlogs_yt,139000,solo,,no,Canada,biweekly,8,6,,,,,,ok
15,Team Charles-Barclay,,https://www.youtube.com/@LucyCharlesBarclay,139000,solo,,no,United Kingdom,monthly,3,4,https://www.instagram.com/hollycharlesphotography_,,,,,ok
16,BPN,Email in YouTube Bio,https://www.youtube.com/@bpnsupps,138000,business,,no,United States,weekly,9,14,https://www.instagram.com/bpnsupps/,,,,,ok
17,Roots in the Wild,Email in YouTube Bio,https://www.youtube.com/@Roots-In-The-Wild,132000,solo,membership,yes,United Kingdom,weekly,2,11,https://www.instagram.com/jessicakleczka/,,,,,ok
18,Holly Brooks,Email in YouTube Bio,https://www.youtube.com/@hollyjobrooks,131000,solo,,no,,weekly,0,13,https://www.instagram.com/p/CRbBzd6Bc3y/,,,,,ok
19,Michelle Roots Fitness & Nutrition Coach,Email in YouTube Bio,https://www.youtube.com/@MichelleRoots,129000,solo,,no,Canada,biweekly,3,8,http://www.instagram.com/michellerootsfit,,,,,ok
20,Andi Renay,,https://www.youtube.com/@andirenay,128000,solo,,no,,biweekly,30,6,,,,,,ok
21,Cobra Scalez,,https://www.youtube.com/@cobrascalez,125000,solo,community,no,,monthly,4,3,https://www.instagram.com/cobrasthenics/,,Cobrasthenics Bootcamp,https://www.skool.com/cobrasthenics-7347/about,2800,ok
22,Lauralie Chapados,Email in YouTube Bio,https://www.youtube.com/@LauralieChapadosIFBBPro,122000,solo,,no,United States,weekly,0,15,https://www.instagram.com/lauraliechap/,,,,,ok
23,emi’s spellbook,,https://www.youtube.com/@emisspellbook,118000,solo,,no,,biweekly,11,5,,,,,,ok
24,Bupa Health,,https://www.youtube.com/@BupaHealth,118000,solo,"app, own site",no,United Kingdom,biweekly,21,6,https://www.instagram.com/bupa.uk,,,,,ok
